sentence_id	sentence	syllable	word	f0_vowel	prosody
1a	Do you want tea or COFFEE? [contrastive]	duː	do	221|213|214Hz  65.7dB	_
1a	Do you want tea or COFFEE? [contrastive]	juː	you	225|230|231Hz  71.2dB	-
1a	Do you want tea or COFFEE? [contrastive]	wɔnt	want	234|223|221Hz  68.8dB	-
1a	Do you want tea or COFFEE? [contrastive]	tiː	tea	219|249|272Hz  65.7dB	-//
1a	Do you want tea or COFFEE? [contrastive]	ɔːɹ	or	272|132|129Hz  63.6dB	_\\
1a	Do you want tea or COFFEE? [contrastive]	kɔ	coffee	203|188|184Hz  64.2dB	*-\\
1a	Do you want tea or COFFEE? [contrastive]	fi	coffee	159|152|152Hz  54.4dB	_
1b	Did you meet MARY or MARTHA yesterday? [contr]	dɪd	did	211|215|193Hz  66.4dB	*-\
1b	Did you meet MARY or MARTHA yesterday? [contr]	juː	you	193|184|87Hz  59.0dB	_\\
1b	Did you meet MARY or MARTHA yesterday? [contr]	miːt	meet	113|137|128Hz  62.9dB	_//
1b	Did you meet MARY or MARTHA yesterday? [contr]	mɛ	mary	216|207|199Hz  63.4dB	_
1b	Did you meet MARY or MARTHA yesterday? [contr]	ɹi	mary	262|343|303Hz  66.1dB	*-//
1b	Did you meet MARY or MARTHA yesterday? [contr]	ɔːɹ	or	303|258|236Hz  64.7dB	\\
1b	Did you meet MARY or MARTHA yesterday? [contr]	mɑːɹ	martha	209|206|213Hz  66.2dB	_
1b	Did you meet MARY or MARTHA yesterday? [contr]	θə	martha	159|181|165Hz  62.3dB	-
1b	Did you meet MARY or MARTHA yesterday? [contr]	jɛs	yesterday	165|160|164Hz  55.9dB	_
1b	Did you meet MARY or MARTHA yesterday? [contr]	tɚ	yesterday		?
1b	Did you meet MARY or MARTHA yesterday? [contr]	deɪ	yesterday	153|166|163Hz  55.0dB	_
2a	Who flew to Milan yesterday? [wh-q]	huː	who	211|206|203Hz  62.5dB	*-
2a	Who flew to Milan yesterday? [wh-q]	fluː	flew	215|215|213Hz  67.0dB	-
2a	Who flew to Milan yesterday? [wh-q]	tuː	to	213|210|212Hz  65.4dB	-
2a	Who flew to Milan yesterday? [wh-q]	mɪ	milan	215|213|210Hz  66.0dB	*-
2a	Who flew to Milan yesterday? [wh-q]	læn	milan	104|106|106Hz  51.9dB	_
2a	Who flew to Milan yesterday? [wh-q]	jɛs		99|88|89Hz  61.0dB	_\\
2b	MARY flew to Milan yesterday. [focus:MARY]	mɛ	mary	212|226|245Hz  68.5dB	*-//
